4,195.07,17
8,159.87,34
2,115.60,14
1,186.62,23
7,170.81,36
1,196.99,39
9,121.23,10
2,118.34,35
4,152.48,10
5,129.12,31
7,113.95,11
3,136.64,19
5,178.52,35
2,151.42,50
6,104.65,45
7,117.05,28
1,194.89,48
10,180.84,25
4,109.77,19
7,144.02,38
2,149.52,44
1,190.93,26
3,166.25,40
4,152.01,18
6,118.49,11
10,177.51,28
10,189.48,47
6,192.19,23
1,119.60,31
1,132.53,44
4,127.13,32
9,135.68,49
3,154.27,21
2,180.22,16
1,198.69,27
8,119.87,22
1,181.55,18
8,172.90,42
8,107.40,47
4,111.59,47
9,162.33,28
4,106.36,25
4,132.52,37
8,163.76,21
9,147.22,25
2,171.32,44
8,156.13,19
8,149.38,11
6,142.75,14
1,110.79,18
1,163.64,29
4,150.86,38
10,124.93,34
5,175.56,18
3,107.70,34
3,116.12,46
10,180.81,22
7,187.15,28
9,118.66,27
9,153.93,23
9,189.61,24
4,111.01,21
3,142.71,10
9,186.07,22
1,151.07,31
5,122.21,38
2,133.76,20
10,132.32,18
6,170.30,26
4,197.18,20
10,125.18,38
5,130.09,16
3,103.69,20
7,150.27,26
1,127.86,24
10,123.96,37
2,148.95,28
10,124.21,34
7,176.16,25
3,172.82,42
4,163.23,50
7,153.58,43
1,183.53,16
4,118.65,38
1,159.09,23
7,101.66,39
6,122.65,24
7,117.44,48
7,138.67,31
10,113.75,37
4,111.35,18
10,187.73,38
3,166.00,17
9,155.52,31
6,124.19,50
1,189.72,32
10,163.31,17
4,134.92,38
8,189.71,45
9,177.99,46
7,108.41,48
2,189.86,37
7,100.92,25
2,166.35,49
1,116.08,22
6,169.19,28
7,122.43,17
8,123.72,30
4,174.65,25
7,184.92,39
7,156.83,32
1,136.77,36
3,124.40,34
10,139.31,29
9,163.11,27
8,150.26,36
6,149.25,45
2,172.25,30
3,102.43,41
7,117.71,50
10,195.39,21
10,137.02,40
1,192.83,23
5,196.67,33
10,185.30,13
3,138.51,17
9,131.69,29
2,155.68,26
10,169.60,48
6,109.72,18
7,199.01,24
2,151.83,22
9,174.08,44
7,170.25,39
4,129.36,22
9,181.01,20
9,191.32,13
6,150.15,35
8,165.00,12
8,179.58,12
9,133.80,11
4,109.40,27
6,103.59,23
5,154.26,50
3,159.08,45
